student_id,initial_activity,final_activity,changed_initial_to_final
10480,Application Exercise,Application Exercise,False
10487,Advanced Practice,Advanced Practice,False
10494,Advanced Practice,Advanced Practice,False
10495,Application Exercise,Application Exercise,False
10500,Concept Review,Application Exercise,True
10514,Advanced Practice,Advanced Practice,False
10522,Application Exercise,Application Exercise,False
10523,Practice Questions,Practice Questions,False
10527,Application Exercise,Application Exercise,False
10528,Application Exercise,Application Exercise,False
10529,Practice Questions,Practice Questions,False
10530,Advanced Practice,Advanced Practice,False
10535,Application Exercise,Application Exercise,False
10543,Application Exercise,Application Exercise,False
10544,Advanced Practice,Advanced Practice,False
10549,Advanced Practice,Advanced Practice,False
10550,Application Exercise,Application Exercise,False
10555,Application Exercise,Application Exercise,False
10560,Advanced Practice,Advanced Practice,False
10571,Advanced Practice,Advanced Practice,False
10579,Advanced Practice,Advanced Practice,False
10584,Practice Questions,Practice Questions,False
10585,Application Exercise,Application Exercise,False
10590,Concept Review,Concept Review,False
10591,Application Exercise,Application Exercise,False
10596,Critical Thinking Activity,Critical Thinking Activity,False
10600,Application Exercise,Application Exercise,False
10602,Application Exercise,Application Exercise,False
10605,Critical Thinking Activity,Application Exercise,True
10614,Advanced Practice,Advanced Practice,False
10618,Practice Questions,Practice Questions,False
10622,Advanced Practice,Advanced Practice,False
10627,Application Exercise,Application Exercise,False
10636,Advanced Practice,Advanced Practice,False
10637,Application Exercise,Application Exercise,False
10644,Application Exercise,Application Exercise,False
10645,Advanced Practice,Advanced Practice,False
10650,Advanced Practice,Advanced Practice,False
10651,Practice Questions,Practice Questions,False
10653,Application Exercise,Critical Thinking Activity,True
10657,Concept Review,Concept Review,False
10661,Application Exercise,Application Exercise,False
10663,Application Exercise,Application Exercise,False
10669,Concept Review,Application Exercise,True
10671,Practice Questions,Practice Questions,False
10678,Advanced Practice,Advanced Practice,False
10679,Application Exercise,Application Exercise,False
10680,Application Exercise,Application Exercise,False
10688,Application Exercise,Application Exercise,False
10690,Application Exercise,Application Exercise,False
10693,Application Exercise,Application Exercise,False
10698,Concept Review,Concept Review,False
10714,Advanced Practice,Advanced Practice,False
10715,Advanced Practice,Advanced Practice,False
10717,Application Exercise,Application Exercise,False
10722,Application Exercise,Application Exercise,False
10738,Application Exercise,Application Exercise,False
10741,Application Exercise,Application Exercise,False
10742,Application Exercise,Concept Review,True
10750,Application Exercise,Application Exercise,False
10754,Advanced Practice,Advanced Practice,False
10762,Advanced Practice,Advanced Practice,False
10765,Advanced Practice,Advanced Practice,False
10768,Application Exercise,Application Exercise,False
10788,Critical Thinking Activity,Critical Thinking Activity,False
10801,Advanced Practice,Advanced Practice,False
10803,Application Exercise,Application Exercise,False
10811,Concept Review,Concept Review,False
10812,Application Exercise,Application Exercise,False
10817,Advanced Practice,Advanced Practice,False
10821,Application Exercise,Application Exercise,False
10823,Application Exercise,Application Exercise,False
10824,Application Exercise,Application Exercise,False
10827,Application Exercise,Application Exercise,False
10830,Concept Review,Concept Review,False
10838,Advanced Practice,Advanced Practice,False
10846,Advanced Practice,Advanced Practice,False
10850,Application Exercise,Application Exercise,False
10860,Concept Review,Concept Review,False
10866,Application Exercise,Application Exercise,False
10867,Application Exercise,Application Exercise,False
10868,Application Exercise,Application Exercise,False
10880,Application Exercise,Application Exercise,False
10884,Application Exercise,Application Exercise,False
10885,Advanced Practice,Advanced Practice,False
10893,Advanced Practice,Advanced Practice,False
10894,Application Exercise,Application Exercise,False
10900,Concept Review,Concept Review,False
10902,Application Exercise,Application Exercise,False
10903,Application Exercise,Application Exercise,False
10915,Practice Questions,Practice Questions,False
10918,Application Exercise,Application Exercise,False
10925,Practice Questions,Practice Questions,False
10937,Application Exercise,Application Exercise,False
10939,Practice Questions,Practice Questions,False
10942,Advanced Practice,Advanced Practice,False
10943,Advanced Practice,Advanced Practice,False
10948,Advanced Practice,Advanced Practice,False
10949,Application Exercise,Application Exercise,False
10960,Advanced Practice,Advanced Practice,False
10974,Concept Review,Concept Review,False
10975,Advanced Practice,Advanced Practice,False
10978,Advanced Practice,Advanced Practice,False
10979,Application Exercise,Application Exercise,False
10986,Application Exercise,Application Exercise,False
10987,Application Exercise,Application Exercise,False
10990,Advanced Practice,Advanced Practice,False
10996,Concept Review,Concept Review,False
10999,Critical Thinking Activity,Critical Thinking Activity,False
