student_id,selected_activity,selected_estimated_gain,observed_activity,observed_gain,selection_matches_observed_policy
10197,Application Exercise,3.99485064394969,Concept Review,2.12,False
10198,Application Exercise,2.935704178600897,Practice Questions,0.0,False
10199,Application Exercise,4.461509629089189,Advanced Practice,3.0,False
10200,Application Exercise,4.162075929897167,Advanced Practice,2.37,False
10201,Application Exercise,4.970761517462086,Application Exercise,5.07,True
10202,Application Exercise,2.8464489169762324,Concept Review,2.71,False
10203,Advanced Practice,1.9971056746737643,Advanced Practice,0.0,True
10204,Concept Review,4.695850219809038,Practice Questions,3.25,False
10205,Application Exercise,3.901516285948758,Critical Thinking Activity,2.32,False
10206,Critical Thinking Activity,3.857832926077771,Practice Questions,1.03,False
10207,Application Exercise,3.0618602709246576,Concept Review,0.94,False
10208,Advanced Practice,2.980798554748881,Application Exercise,1.72,False
10209,Application Exercise,4.726154686435166,Practice Questions,5.69,False
10210,Application Exercise,4.1729556584429,Practice Questions,2.94,False
10211,Practice Questions,4.19772267566057,Advanced Practice,4.9,False
10212,Practice Questions,1.8745990625163642,Advanced Practice,0.0,False
10213,Application Exercise,5.651400404882931,Critical Thinking Activity,6.99,False
10214,Application Exercise,5.690506587054653,Critical Thinking Activity,6.4,False
10215,Application Exercise,4.346623239771376,Critical Thinking Activity,0.0,False
10216,Critical Thinking Activity,4.272093788982396,Practice Questions,2.32,False
10217,Application Exercise,4.688244666251528,Critical Thinking Activity,5.1,False
10218,Application Exercise,3.4770627226459236,Advanced Practice,3.71,False
10219,Critical Thinking Activity,3.2991248695857687,Application Exercise,2.47,False
10220,Advanced Practice,3.6647452296105176,Critical Thinking Activity,3.42,False
10221,Application Exercise,4.147234708148534,Critical Thinking Activity,2.83,False
10222,Application Exercise,5.66985647554953,Critical Thinking Activity,4.68,False
10223,Application Exercise,5.199933461991824,Critical Thinking Activity,6.63,False
10224,Application Exercise,1.9974361846021178,Critical Thinking Activity,0.24,False
10225,Application Exercise,4.043558039164353,Concept Review,5.0,False
10226,Application Exercise,4.845598298959212,Critical Thinking Activity,3.72,False
10227,Practice Questions,3.011177369304316,Advanced Practice,1.83,False
10228,Application Exercise,4.423926457817716,Advanced Practice,4.41,False
10229,Critical Thinking Activity,3.699041436841146,Critical Thinking Activity,4.9,True
10230,Application Exercise,7.45425975149103,Concept Review,7.75,False
10231,Application Exercise,5.605239437019347,Advanced Practice,1.96,False
10232,Application Exercise,4.6155216560996415,Advanced Practice,3.39,False
10233,Application Exercise,7.0627407743204085,Practice Questions,7.46,False
10234,Application Exercise,5.288876657276904,Advanced Practice,4.18,False
10235,Application Exercise,3.7592620715016425,Practice Questions,0.78,False
10236,Application Exercise,2.754153815112563,Application Exercise,3.16,True
10237,Application Exercise,6.843450074021137,Concept Review,5.63,False
10238,Application Exercise,3.819810654273614,Concept Review,5.26,False
10239,Application Exercise,2.7911512709225037,Advanced Practice,4.57,False
10240,Application Exercise,4.312850270476186,Critical Thinking Activity,5.02,False
10241,Critical Thinking Activity,7.070049699741676,Concept Review,8.75,False
10242,Application Exercise,7.191929779828788,Critical Thinking Activity,6.25,False
10243,Critical Thinking Activity,5.199424759330495,Concept Review,6.28,False
10244,Application Exercise,3.4468461369742713,Advanced Practice,5.04,False
10245,Application Exercise,4.064066721636302,Critical Thinking Activity,3.33,False
10246,Application Exercise,3.295587423583471,Concept Review,2.75,False
10247,Concept Review,7.152910034908209,Application Exercise,4.47,False
10248,Application Exercise,1.5999882398558452,Practice Questions,0.77,False
10249,Application Exercise,6.1894498395502975,Practice Questions,6.89,False
10250,Application Exercise,3.8849878655599905,Application Exercise,4.87,True
10251,Application Exercise,4.924424483571424,Advanced Practice,3.75,False
10252,Application Exercise,2.8942457142516553,Critical Thinking Activity,1.96,False
10253,Application Exercise,4.369639759381996,Practice Questions,0.56,False
10254,Application Exercise,3.8963540696680257,Critical Thinking Activity,2.67,False
10255,Advanced Practice,1.414573480197319,Application Exercise,1.01,False
10256,Practice Questions,6.454472763594592,Practice Questions,5.49,True
10257,Application Exercise,5.253718523361334,Concept Review,4.87,False
10258,Application Exercise,4.477084359944677,Practice Questions,6.23,False
10259,Application Exercise,5.70977067376952,Critical Thinking Activity,5.52,False
10260,Application Exercise,5.465571188324736,Advanced Practice,5.06,False
10261,Concept Review,3.118625047807198,Advanced Practice,2.3,False
10262,Application Exercise,5.5694875317796875,Advanced Practice,5.24,False
10263,Application Exercise,4.406571823670479,Advanced Practice,2.24,False
10264,Application Exercise,5.163331298204948,Practice Questions,4.38,False
10265,Application Exercise,3.756659784597317,Practice Questions,3.32,False
10266,Application Exercise,4.826068286959668,Advanced Practice,4.37,False
10267,Application Exercise,3.5949078080077284,Advanced Practice,3.51,False
10268,Application Exercise,4.178529121139194,Practice Questions,4.46,False
10269,Application Exercise,3.8135024825452652,Application Exercise,1.31,True
10270,Advanced Practice,3.2302781467480113,Application Exercise,3.71,False
10271,Application Exercise,4.035302425632595,Advanced Practice,2.75,False
10272,Application Exercise,5.341861724996667,Critical Thinking Activity,2.29,False
10273,Advanced Practice,4.478787503153573,Critical Thinking Activity,2.96,False
10274,Critical Thinking Activity,5.907760979953495,Critical Thinking Activity,6.22,True
10275,Practice Questions,3.3172359792889106,Practice Questions,3.15,True
10276,Critical Thinking Activity,5.744031098346992,Application Exercise,3.46,False
10277,Application Exercise,2.18119514095413,Practice Questions,2.36,False
10278,Application Exercise,3.5393778623618584,Advanced Practice,0.59,False
10279,Application Exercise,2.729099047683909,Advanced Practice,2.58,False
10280,Application Exercise,6.07562934361775,Critical Thinking Activity,5.42,False
10281,Concept Review,3.9243669087890876,Advanced Practice,4.9,False
10282,Application Exercise,5.678776105679531,Practice Questions,6.44,False
10283,Advanced Practice,1.6637079845225757,Advanced Practice,0.0,True
10284,Application Exercise,4.303242747233387,Advanced Practice,3.54,False
10285,Application Exercise,3.865537355334567,Practice Questions,2.14,False
10286,Application Exercise,5.711497455588872,Advanced Practice,4.71,False
10287,Application Exercise,2.5709133881862574,Practice Questions,1.53,False
10288,Application Exercise,4.480595319865417,Advanced Practice,2.95,False
10289,Application Exercise,2.111652559420346,Application Exercise,1.06,True
10290,Application Exercise,4.363850221124604,Advanced Practice,1.28,False
10291,Application Exercise,2.9982599547352433,Critical Thinking Activity,3.2,False
10292,Application Exercise,5.441480333800008,Critical Thinking Activity,5.57,False
10293,Application Exercise,4.552471912203214,Advanced Practice,5.44,False
10294,Application Exercise,4.938017775675847,Critical Thinking Activity,4.22,False
10295,Concept Review,4.524128343911077,Critical Thinking Activity,3.22,False
10296,Advanced Practice,2.291909322721665,Critical Thinking Activity,0.3,False
10297,Application Exercise,5.407179489399278,Advanced Practice,4.95,False
10298,Application Exercise,2.325107590787441,Advanced Practice,0.4,False
10299,Application Exercise,3.6859767298672717,Advanced Practice,6.0,False
10300,Advanced Practice,7.126162589069201,Critical Thinking Activity,5.1,False
10301,Application Exercise,3.6375606289626683,Critical Thinking Activity,3.82,False
10302,Advanced Practice,4.927843249098023,Application Exercise,7.09,False
10303,Application Exercise,5.3524262881317926,Advanced Practice,5.03,False
10304,Application Exercise,4.494455714903273,Advanced Practice,3.94,False
10305,Application Exercise,4.190057805878709,Advanced Practice,1.88,False
10306,Application Exercise,3.9979949100169168,Critical Thinking Activity,1.79,False
10307,Application Exercise,6.073511336339654,Advanced Practice,5.83,False
10308,Application Exercise,3.767185156639809,Critical Thinking Activity,5.18,False
10309,Application Exercise,6.6677472814885705,Advanced Practice,4.92,False
10310,Application Exercise,4.415900348855933,Concept Review,2.66,False
10311,Application Exercise,4.277871067768834,Concept Review,0.0,False
10312,Application Exercise,1.6536052694281809,Concept Review,0.0,False
10313,Application Exercise,5.6429383652369705,Concept Review,5.02,False
10314,Application Exercise,3.836979698670362,Advanced Practice,5.72,False
10315,Application Exercise,1.789969961198543,Advanced Practice,2.3,False
10316,Application Exercise,5.334570842746951,Critical Thinking Activity,4.36,False
10317,Application Exercise,6.401358362082362,Advanced Practice,3.82,False
10318,Critical Thinking Activity,3.4209455945030975,Application Exercise,2.37,False
10319,Critical Thinking Activity,2.991156867458421,Application Exercise,4.89,False
10320,Application Exercise,6.014355484287588,Concept Review,5.83,False
10321,Advanced Practice,4.054647358782885,Application Exercise,0.89,False
10322,Concept Review,5.228550694426667,Practice Questions,4.02,False
10323,Application Exercise,5.611774510099718,Advanced Practice,2.92,False
10324,Critical Thinking Activity,4.911114320188512,Concept Review,4.14,False
10325,Application Exercise,5.753390440943411,Practice Questions,6.8,False
10326,Application Exercise,5.577381686394994,Critical Thinking Activity,4.86,False
10327,Application Exercise,4.657497870282647,Advanced Practice,3.36,False
10328,Application Exercise,2.56365202558733,Advanced Practice,4.46,False
10329,Application Exercise,4.073536849133213,Application Exercise,2.74,True
10330,Critical Thinking Activity,4.568969298790558,Concept Review,6.59,False
10331,Application Exercise,5.710718461306095,Advanced Practice,3.26,False
10332,Practice Questions,3.6592811828245657,Advanced Practice,3.68,False
10333,Application Exercise,6.163243134743023,Critical Thinking Activity,3.63,False
10334,Application Exercise,5.98756413399609,Critical Thinking Activity,5.08,False
10335,Application Exercise,5.984253730414073,Advanced Practice,6.69,False
10336,Concept Review,4.029014413489377,Advanced Practice,4.26,False
10337,Application Exercise,5.060508347019663,Advanced Practice,3.18,False
10338,Application Exercise,6.155526205216651,Critical Thinking Activity,4.06,False
10339,Application Exercise,5.265096792635192,Critical Thinking Activity,7.96,False
10340,Critical Thinking Activity,5.564999278358366,Application Exercise,4.67,False
10341,Application Exercise,4.714605076176426,Advanced Practice,4.94,False
10342,Critical Thinking Activity,2.7981581092867103,Concept Review,0.53,False
10343,Application Exercise,2.9277271739055686,Practice Questions,1.76,False
10344,Application Exercise,3.149408845706255,Advanced Practice,1.63,False
10345,Application Exercise,4.386845026075189,Critical Thinking Activity,5.11,False
10346,Application Exercise,5.84093911050582,Practice Questions,1.22,False
10347,Concept Review,4.401839827704822,Advanced Practice,4.31,False
10348,Application Exercise,2.167440062212281,Advanced Practice,0.13,False
10349,Application Exercise,7.53204296115011,Advanced Practice,6.2,False
10350,Application Exercise,4.465284951953545,Advanced Practice,2.1,False
10351,Application Exercise,6.159181476198133,Critical Thinking Activity,3.05,False
10352,Application Exercise,2.3494441264260626,Guided Review,1.0,False
10353,Application Exercise,4.539306774051165,Critical Thinking Activity,2.33,False
10354,Application Exercise,2.575412079017919,Advanced Practice,1.43,False
10355,Application Exercise,5.330897104468503,Critical Thinking Activity,2.45,False
10356,Application Exercise,4.867036596955915,Concept Review,1.32,False
10357,Application Exercise,7.630581511482344,Concept Review,8.18,False
10358,Application Exercise,5.162405430629356,Critical Thinking Activity,2.17,False
10359,Application Exercise,4.759137171062584,Practice Questions,3.32,False
10360,Critical Thinking Activity,4.168748278404645,Application Exercise,4.94,False
10361,Critical Thinking Activity,4.469224881918536,Practice Questions,3.2,False
10362,Concept Review,3.014757737678348,Practice Questions,1.41,False
10363,Advanced Practice,5.82057747676492,Advanced Practice,6.04,True
10364,Application Exercise,4.6297836397333825,Advanced Practice,4.98,False
10365,Application Exercise,2.9311725946349387,Advanced Practice,0.79,False
10366,Critical Thinking Activity,5.784484829852858,Concept Review,4.76,False
10367,Application Exercise,3.002724668920063,Application Exercise,0.05,True
10368,Application Exercise,5.610032187803075,Practice Questions,3.4,False
10369,Application Exercise,4.303857763711934,Critical Thinking Activity,3.82,False
10370,Application Exercise,4.871640905941657,Advanced Practice,2.99,False
10371,Application Exercise,4.926394588706557,Advanced Practice,3.02,False
10372,Application Exercise,2.786890357128927,Practice Questions,0.0,False
10373,Application Exercise,5.197002786674524,Critical Thinking Activity,4.65,False
10374,Concept Review,6.125365664436249,Critical Thinking Activity,7.81,False
10375,Application Exercise,2.728359198483281,Critical Thinking Activity,1.0,False
10376,Application Exercise,2.5171749951898,Practice Questions,1.42,False
10377,Application Exercise,3.9413371030359423,Advanced Practice,3.53,False
10378,Application Exercise,5.029938151324927,Critical Thinking Activity,6.47,False
10379,Critical Thinking Activity,4.1814225031437715,Critical Thinking Activity,1.88,True
10380,Application Exercise,5.535737507876576,Practice Questions,3.78,False
10381,Application Exercise,7.044710161083276,Practice Questions,6.53,False
10382,Application Exercise,4.907555049156491,Application Exercise,5.03,True
10383,Application Exercise,7.10518517674689,Advanced Practice,2.09,False
10384,Application Exercise,2.4932961202208572,Application Exercise,3.15,True
10385,Application Exercise,7.281361551731923,Advanced Practice,7.83,False
10386,Critical Thinking Activity,6.452269127482724,Concept Review,6.21,False
10387,Application Exercise,7.676021399265104,Critical Thinking Activity,4.79,False
10388,Critical Thinking Activity,2.956386723856548,Application Exercise,2.16,False
10389,Application Exercise,4.446255069330746,Critical Thinking Activity,5.28,False
10390,Application Exercise,3.081526412921647,Advanced Practice,2.96,False
10391,Application Exercise,4.722694761558313,Application Exercise,4.88,True
10392,Application Exercise,3.9872809547168275,Critical Thinking Activity,3.46,False
10393,Advanced Practice,4.956394514298885,Critical Thinking Activity,4.15,False
10394,Application Exercise,6.375034500148699,Concept Review,5.5,False
10395,Advanced Practice,4.159995414770752,Critical Thinking Activity,3.97,False
10396,Practice Questions,3.8494084879413197,Concept Review,4.72,False
10397,Application Exercise,3.674758865478391,Concept Review,5.12,False
10398,Application Exercise,6.6008983285032095,Advanced Practice,7.0,False
10399,Application Exercise,2.1364713897397074,Application Exercise,0.0,True
10400,Application Exercise,4.418466319757561,Advanced Practice,4.49,False
10401,Application Exercise,3.229770585244638,Advanced Practice,4.18,False
10402,Advanced Practice,4.2750201877048175,Application Exercise,5.36,False
10403,Application Exercise,6.4752131418079495,Concept Review,5.23,False
10404,Concept Review,3.9028549488822915,Concept Review,8.29,True
10405,Application Exercise,3.0473162887739815,Advanced Practice,0.0,False
10406,Advanced Practice,2.370730621597197,Critical Thinking Activity,0.6,False
10407,Application Exercise,4.792425174139663,Advanced Practice,3.9,False
10408,Application Exercise,7.036230794244332,Application Exercise,9.6,True
10409,Application Exercise,3.505228102168192,Advanced Practice,1.51,False
10410,Application Exercise,3.9719691357914355,Advanced Practice,2.63,False
10411,Application Exercise,2.4103329397588347,Advanced Practice,3.94,False
10412,Concept Review,2.768685185535997,Advanced Practice,2.76,False
10413,Application Exercise,4.971388503086418,Application Exercise,4.11,True
10414,Application Exercise,5.208689398772169,Practice Questions,5.42,False
10415,Application Exercise,5.017334230808277,Practice Questions,4.76,False
10416,Application Exercise,5.238524757183985,Practice Questions,5.35,False
10417,Application Exercise,3.6257244284948507,Advanced Practice,4.38,False
10418,Application Exercise,3.527379234421815,Application Exercise,2.97,True
10419,Application Exercise,4.463346113239804,Critical Thinking Activity,3.62,False
10420,Application Exercise,4.781216707564258,Practice Questions,4.55,False
10421,Application Exercise,2.1046008957602695,Guided Review,1.81,False
10422,Application Exercise,3.465671243036358,Advanced Practice,3.31,False
10423,Application Exercise,4.201400384566281,Practice Questions,3.42,False
