student_id,age,gender,class_year,previous_gpa,prior_course_grade,attendance_rate,absence_hours,study_hours_week,weekly_questions,quiz_average,assignment_average,assignment_on_time,midterm,practice_test_score,lms_login_count,video_watch_minutes,motivation,self_efficacy,academic_anxiety,time_management,self_regulation,preferred_learning_type,recommendation_completion_rate,conceptual_understanding,problem_solving,application_skills,critical_thinking,advanced_topics,weakest_topic,learning_risk_score,learning_risk_level,recommended_activity,recommended_duration_min,expected_learning_gain,final_grade
10039,19,M,1,3.08,100.0,90.3,7.3,8.3,297,95.8,79.5,90.0,93.7,98.0,27,289,3.85,5.0,1.9,4.22,4.13,Video,65.2,100.0,100.0,100.0,78.7,82.2,Critical Thinking,9.7,Low,Critical Thinking Activity,25,5.63,91.7
10040,22,M,2,2.91,76.7,57.4,23.8,6.3,118,96.0,89.2,65.1,88.6,76.1,16,180,4.26,4.24,2.34,3.36,2.81,Video,59.2,95.6,100.0,77.4,64.6,93.8,Critical Thinking,22.1,Low,Critical Thinking Activity,20,4.51,74.2
10041,23,F,2,2.79,57.8,74.9,13.7,8.9,300,83.0,72.9,82.6,86.6,86.9,31,417,3.05,3.72,3.47,2.95,3.3,Video,50.2,95.6,82.0,79.5,75.8,86.9,Critical Thinking,24.2,Low,Critical Thinking Activity,20,2.79,76.3
10042,22,M,2,2.5,75.7,68.6,16.8,6.3,294,91.3,75.3,73.8,78.3,75.2,17,296,3.81,4.62,1.71,3.7,3.6,Video,68.4,90.2,91.2,62.5,77.3,74.7,Application Skills,21.9,Low,Application Exercise,30,4.19,74.0
10043,21,F,1,1.9,62.4,51.6,26.2,4.5,91,63.2,73.7,48.7,44.0,46.9,6,135,2.84,2.16,3.02,1.83,1.82,Video,24.5,58.1,53.7,64.4,40.7,52.1,Critical Thinking,51.0,Medium,Critical Thinking Activity,35,1.65,43.4
10044,21,F,2,2.73,56.9,62.8,21.7,6.5,163,77.2,81.4,57.8,65.0,79.9,5,362,3.44,4.0,2.88,3.42,2.24,Video,47.4,89.1,94.6,70.5,77.9,56.2,Advanced Topics,31.8,Low,Advanced Practice,25,0.75,69.8
10045,18,F,3,3.0,71.3,96.4,2.7,13.3,359,86.6,93.6,100.0,97.4,93.9,45,597,3.45,3.84,3.2,3.52,4.09,Video,65.0,81.4,100.0,99.8,100.0,92.2,Conceptual Understanding,15.5,Low,Concept Review,20,2.61,85.5
10046,20,F,1,3.13,62.3,71.5,15.6,3.1,186,65.8,66.3,75.0,64.7,65.3,17,305,2.34,3.19,1.93,3.13,3.41,Video,31.2,84.4,88.5,81.0,74.2,67.5,Advanced Topics,33.4,Low,Advanced Practice,20,2.52,69.5
10047,20,M,1,1.82,47.5,73.3,17.7,4.6,177,56.0,49.5,45.6,46.0,54.2,18,200,1.83,2.31,1.47,2.12,2.26,Video,40.8,45.4,69.4,51.6,58.5,41.1,Advanced Topics,44.2,Medium,Advanced Practice,25,3.62,50.1
10048,24,M,2,1.98,56.3,81.4,4.3,4.8,232,71.7,57.4,74.9,62.9,50.5,31,331,3.11,3.21,4.15,2.78,3.38,Video,39.8,63.6,81.5,68.4,80.6,57.8,Advanced Topics,39.1,Medium,Advanced Practice,25,2.72,57.9
10049,22,M,4,1.66,55.8,63.9,20.9,2.2,127,56.0,65.7,67.2,49.5,61.4,16,163,2.96,2.63,3.99,2.76,2.4,Video,37.3,46.4,63.8,54.3,64.7,45.1,Advanced Topics,51.7,Medium,Advanced Practice,25,1.3,43.7
10050,18,F,3,2.86,47.1,79.6,12.7,0.5,122,65.8,54.0,87.7,47.9,56.9,17,276,2.44,2.54,2.15,2.35,2.97,Video,50.4,53.7,59.6,86.1,66.7,51.4,Advanced Topics,43.1,Medium,Advanced Practice,30,2.52,53.4
10051,22,F,3,2.58,45.8,82.4,12.0,0.5,98,73.8,67.9,73.3,51.0,71.8,10,111,2.99,3.17,3.22,2.12,2.6,Video,26.1,82.8,63.1,70.1,56.6,53.9,Advanced Topics,41.6,Medium,Advanced Practice,35,1.91,55.4
10052,21,F,2,1.52,63.2,71.4,15.6,2.5,128,52.0,44.0,58.8,41.5,45.3,14,200,2.41,2.5,4.13,1.51,2.44,Video,17.3,67.5,44.4,68.3,52.2,32.8,Advanced Topics,55.1,Medium,Advanced Practice,25,1.63,38.5
10053,20,M,3,2.98,59.3,67.9,18.1,8.4,256,65.9,70.3,88.9,52.3,76.9,26,304,3.94,3.53,3.79,2.84,3.44,Video,51.0,85.7,72.7,79.8,67.9,67.5,Advanced Topics,38.7,Medium,Advanced Practice,25,7.39,65.5
10054,23,F,1,3.06,67.4,68.3,19.4,4.4,217,89.4,84.7,77.0,78.3,77.8,23,282,3.01,3.73,3.12,3.79,3.08,Video,42.0,97.4,87.3,69.3,74.0,85.9,Application Skills,28.2,Low,Application Exercise,30,5.12,70.4
10055,24,M,3,2.21,62.8,70.1,19.4,2.0,177,70.7,66.6,79.5,52.7,65.1,11,418,3.4,3.24,2.48,3.43,3.18,Video,68.6,72.1,58.6,57.6,57.4,38.7,Advanced Topics,38.1,Medium,Advanced Practice,25,6.08,64.4
10056,24,M,4,3.15,83.7,98.5,0.2,12.3,446,87.9,100.0,83.9,96.3,100.0,43,465,4.1,5.0,2.0,3.95,4.74,Video,71.9,100.0,100.0,96.1,98.2,100.0,Application Skills,6.9,Low,Application Exercise,25,7.66,99.3
10057,20,F,3,2.51,72.5,81.4,10.8,9.6,330,94.0,93.4,62.4,82.4,80.6,35,347,3.78,3.7,2.5,3.47,3.84,Video,59.5,100.0,80.9,100.0,96.4,84.7,Problem Solving,19.8,Low,Practice Questions,20,3.26,79.0
10058,21,M,4,3.17,80.4,72.1,18.7,6.3,336,83.6,79.6,69.9,81.4,65.2,20,412,3.03,3.8,3.16,3.1,2.95,Video,46.1,96.3,84.6,89.8,98.9,87.9,Problem Solving,24.9,Low,Practice Questions,20,1.74,78.6
10059,22,F,3,2.03,65.3,72.3,11.0,6.7,269,67.7,71.9,49.8,57.9,75.5,32,276,3.23,2.86,1.7,2.59,3.16,Video,43.8,78.4,68.6,58.5,67.0,81.5,Application Skills,36.3,Medium,Application Exercise,35,2.0,59.2
10060,24,M,1,3.65,74.7,100.0,0.0,6.0,372,95.3,82.4,100.0,80.3,84.7,36,408,3.62,3.41,1.61,3.85,4.36,Video,69.3,85.4,85.0,99.7,83.9,85.6,Critical Thinking,17.0,Low,Critical Thinking Activity,20,7.52,82.7
10061,20,M,4,1.54,62.6,79.3,14.3,2.5,153,67.1,75.0,67.0,37.7,47.5,15,89,2.66,2.36,3.44,3.01,2.37,Quiz,36.9,56.1,42.0,48.8,62.1,33.4,Advanced Topics,47.2,Medium,Advanced Practice,25,1.97,53.3
10062,21,F,1,3.56,54.2,59.1,24.7,7.6,150,79.3,83.1,55.1,68.2,74.1,25,326,1.9,3.78,3.02,2.37,2.21,Video,22.4,72.3,77.3,84.8,73.6,73.5,Conceptual Understanding,31.0,Low,Concept Review,20,0.27,71.3
10063,19,F,2,2.59,73.8,87.3,8.0,6.9,320,79.5,78.5,82.4,70.9,59.6,22,379,2.51,3.16,3.44,3.48,3.66,Video,44.4,84.9,66.5,87.3,80.3,71.6,Problem Solving,28.0,Low,Practice Questions,30,3.44,76.9
10064,19,M,1,2.93,71.6,79.1,10.6,12.6,383,98.6,95.9,88.8,81.8,98.0,37,431,4.59,5.0,1.83,3.86,4.17,Video,75.3,100.0,92.6,100.0,94.4,100.0,Problem Solving,9.6,Low,Practice Questions,30,5.21,100.0
10065,23,M,1,2.3,59.3,89.4,4.1,8.1,280,56.8,72.1,78.9,57.8,41.9,24,416,3.18,2.72,2.65,2.85,2.83,Video,34.5,68.5,69.0,77.2,54.4,59.2,Critical Thinking,37.2,Medium,Critical Thinking Activity,25,3.47,61.2
10066,24,F,2,1.88,52.2,67.4,16.8,0.5,96,54.7,62.0,72.1,42.2,48.3,3,0,2.77,2.53,2.49,1.39,2.17,Video,34.7,68.2,44.2,63.4,69.6,38.7,Advanced Topics,49.1,Medium,Advanced Practice,25,2.93,49.2
10067,21,M,2,3.17,68.6,87.9,9.7,10.3,302,78.3,95.9,75.6,81.5,82.1,23,332,3.67,3.99,2.97,3.81,3.85,Video,75.9,100.0,84.0,97.3,88.1,94.9,Problem Solving,22.4,Low,Practice Questions,25,4.09,77.6
10068,24,M,2,1.2,58.5,55.7,23.1,8.6,260,63.3,52.3,60.2,57.8,68.1,24,288,2.85,2.36,2.07,2.91,2.63,Video,45.0,59.4,53.7,68.2,42.9,63.9,Critical Thinking,41.9,Medium,Critical Thinking Activity,25,4.31,51.1
10069,22,M,3,2.5,81.5,98.6,1.0,9.0,307,83.2,89.6,96.8,85.9,82.2,27,335,4.38,3.86,1.6,3.63,3.8,Video,76.5,100.0,96.7,100.0,99.4,88.8,Advanced Topics,14.0,Low,Advanced Practice,25,4.36,89.6
10070,20,F,1,1.54,48.5,59.9,20.5,2.0,158,44.1,48.1,63.1,47.4,48.1,18,2,2.02,2.39,1.93,2.5,1.24,Quiz,30.0,56.1,48.8,35.7,41.8,39.4,Application Skills,51.2,Medium,Application Exercise,25,1.41,41.9
10071,22,M,1,2.48,70.1,90.4,7.0,7.2,259,87.6,99.4,82.2,87.7,82.5,31,315,4.43,3.87,3.01,3.03,3.85,Video,56.0,78.0,92.0,90.1,74.6,89.8,Critical Thinking,16.6,Low,Critical Thinking Activity,20,5.67,91.7
10072,25,M,3,1.88,46.3,91.6,3.5,2.6,170,56.6,72.7,98.0,32.4,53.1,28,327,2.84,2.94,3.24,3.56,3.16,Video,59.3,64.7,52.5,53.1,57.5,48.1,Advanced Topics,48.5,Medium,Advanced Practice,30,3.24,49.0
10073,21,F,2,2.96,72.0,75.6,13.2,8.0,215,83.5,80.8,69.0,85.0,76.4,23,422,3.02,3.11,1.55,3.32,3.29,Video,57.7,95.0,84.3,92.1,96.6,85.8,Problem Solving,20.0,Low,Practice Questions,20,3.4,82.4
10074,25,F,3,3.12,73.9,79.9,7.7,10.3,347,73.4,95.9,74.5,92.3,78.9,31,372,3.28,3.38,3.07,3.11,3.17,Video,62.3,100.0,92.4,91.5,82.2,95.1,Critical Thinking,23.6,Low,Critical Thinking Activity,30,5.2,75.5
10075,18,M,3,2.31,64.5,89.6,2.5,9.4,321,71.5,86.6,83.9,59.8,53.2,22,449,3.08,3.75,4.35,3.56,3.39,Video,38.5,62.7,72.6,63.7,70.7,78.1,Conceptual Understanding,34.9,Low,Concept Review,20,2.37,64.4
10076,23,F,4,2.58,59.0,74.8,13.9,13.3,371,90.0,89.7,68.6,85.7,78.2,33,461,3.55,3.93,2.36,2.82,2.9,Video,66.7,99.6,76.7,100.0,87.8,90.6,Problem Solving,18.3,Low,Practice Questions,20,3.68,83.5
10077,22,M,3,2.82,68.1,70.0,13.8,3.9,148,66.7,87.6,76.9,57.5,66.7,23,366,2.64,2.89,2.37,1.61,2.97,Video,45.0,77.4,71.9,67.3,71.5,59.6,Advanced Topics,38.0,Medium,Advanced Practice,35,4.38,62.5
10078,21,F,2,2.34,57.7,63.7,24.2,9.5,195,72.0,74.6,62.8,49.5,65.8,25,291,3.27,3.6,4.06,2.69,3.22,Video,47.3,69.7,67.0,55.7,66.8,71.0,Application Skills,40.5,Medium,Application Exercise,25,6.91,59.9
10079,22,F,3,2.42,44.7,64.4,15.4,2.6,188,47.3,59.7,69.5,44.0,51.9,26,86,1.52,2.95,2.5,2.64,3.03,Quiz,33.4,65.5,60.3,61.1,47.3,54.3,Critical Thinking,49.4,Medium,Critical Thinking Activity,30,4.1,47.2
10080,18,M,1,1.9,33.1,53.1,24.2,3.7,179,51.7,58.8,70.6,33.8,40.3,6,147,3.04,2.21,3.09,2.39,1.59,Quiz,29.2,37.6,38.4,37.0,56.7,47.6,Application Skills,51.7,Medium,Application Exercise,25,2.6,54.4
10081,21,F,2,2.73,68.1,94.8,2.9,7.5,243,82.8,76.7,79.1,70.3,67.0,27,294,2.76,3.32,2.92,3.53,3.31,Video,57.2,90.7,94.0,75.1,81.7,78.2,Application Skills,27.3,Low,Application Exercise,25,5.05,70.5
10082,22,F,3,1.46,30.0,75.2,12.9,3.0,234,55.6,56.0,63.7,34.6,42.3,19,171,2.86,2.0,3.46,2.71,2.78,Video,39.5,56.8,44.7,46.1,51.8,44.7,Problem Solving,52.5,Medium,Practice Questions,30,1.6,46.3
10083,25,F,2,2.35,63.9,87.3,4.8,10.0,362,89.7,93.2,97.8,69.7,75.1,28,417,3.94,3.8,3.32,3.64,3.51,Video,43.7,81.8,87.1,73.6,58.0,84.5,Critical Thinking,23.9,Low,Critical Thinking Activity,20,4.11,78.4
10084,20,M,3,2.21,54.3,83.9,7.0,1.2,133,67.0,67.9,65.8,58.9,61.2,15,176,3.82,3.28,2.93,2.84,2.98,Video,43.8,79.4,64.9,52.2,65.2,34.4,Advanced Topics,37.0,Medium,Advanced Practice,30,3.47,64.9
10085,20,F,4,2.76,75.3,68.4,15.4,2.3,135,75.8,61.7,65.9,63.0,72.1,20,233,3.09,3.2,1.48,2.4,3.33,Video,52.3,94.6,63.2,90.8,84.2,61.5,Advanced Topics,32.9,Low,Advanced Practice,25,4.58,66.0
10086,20,F,4,2.51,53.5,70.2,15.8,4.6,113,67.6,71.0,71.4,64.5,60.3,15,286,2.7,2.97,2.35,2.18,2.55,Video,40.8,64.8,73.1,63.1,69.4,60.9,Advanced Topics,36.2,Medium,Advanced Practice,25,3.24,61.9
10087,24,M,4,2.66,59.4,85.7,11.7,1.4,218,71.0,63.5,90.7,64.7,53.5,28,234,2.96,3.17,2.33,3.22,3.04,Video,48.7,62.0,47.4,76.5,66.2,56.2,Problem Solving,32.7,Low,Practice Questions,25,4.31,69.1
10088,22,F,2,2.88,90.4,91.3,4.9,12.6,338,80.8,97.9,93.0,100.0,76.1,24,481,4.66,4.61,1.91,3.99,3.71,Video,86.4,100.0,100.0,96.4,93.9,100.0,Critical Thinking,11.3,Low,Critical Thinking Activity,25,5.12,89.8
10089,20,M,2,2.72,79.1,63.7,22.3,10.3,267,76.5,88.3,68.4,86.1,98.8,31,365,3.13,3.94,2.16,3.14,3.07,Video,36.0,84.1,98.0,94.7,92.9,77.3,Advanced Topics,19.8,Low,Advanced Practice,20,3.4,87.3
10090,23,F,3,2.76,74.1,73.6,15.5,5.7,285,83.4,83.7,81.1,69.8,59.0,27,394,2.86,2.68,2.03,2.85,3.81,Video,55.5,76.0,72.8,84.5,82.2,90.9,Problem Solving,26.2,Low,Practice Questions,20,2.75,80.8
10091,22,M,2,2.58,74.0,76.3,15.2,9.9,240,75.2,99.3,84.7,80.4,83.7,26,388,4.75,4.29,2.9,4.79,5.0,Video,71.6,88.8,86.5,100.0,88.3,98.6,Problem Solving,19.7,Low,Practice Questions,20,5.63,91.1
10092,24,F,3,1.46,49.6,59.4,16.7,6.3,109,56.0,67.5,54.9,49.2,54.9,10,207,2.79,1.92,2.92,2.22,2.53,Video,42.5,60.1,48.8,45.4,41.4,59.6,Critical Thinking,47.2,Medium,Critical Thinking Activity,25,5.2,52.2
10093,20,M,3,2.25,76.7,89.9,5.0,15.8,416,100.0,89.9,88.5,92.3,93.0,22,452,4.29,4.39,1.35,3.28,3.6,Video,71.3,100.0,100.0,100.0,100.0,100.0,Conceptual Understanding,13.5,Low,Concept Review,25,5.45,75.8
10094,21,F,3,2.58,71.2,74.1,16.9,7.5,272,79.6,86.5,70.9,71.8,80.2,20,316,3.36,3.96,1.69,3.44,3.62,Video,65.2,78.6,92.0,87.7,80.8,86.5,Conceptual Understanding,22.9,Low,Concept Review,20,4.75,81.1
10095,21,F,2,2.24,56.1,68.9,16.0,6.0,232,60.9,80.0,72.8,61.0,54.6,25,206,3.37,2.73,3.25,3.1,2.54,Video,37.3,73.1,79.8,78.5,70.9,69.1,Advanced Topics,40.2,Medium,Advanced Practice,35,5.78,60.4
10096,18,F,1,2.17,59.2,89.6,9.2,7.8,263,76.2,71.9,81.2,56.7,72.2,26,282,3.67,3.25,1.95,3.69,3.94,Video,77.5,81.4,71.4,82.4,58.6,83.0,Critical Thinking,29.4,Low,Critical Thinking Activity,20,3.42,71.2
10097,22,F,2,2.44,79.7,99.9,3.0,10.0,462,78.5,94.7,79.7,71.9,76.5,38,503,4.05,3.63,3.6,4.28,4.41,Video,77.2,78.4,92.2,80.2,87.7,83.5,Conceptual Understanding,26.6,Low,Concept Review,20,4.17,72.3
10098,22,F,1,2.66,64.8,86.0,6.8,7.8,278,77.7,75.0,91.6,74.6,70.0,25,285,3.81,3.56,1.19,3.98,3.76,Video,76.8,72.5,88.1,78.7,88.2,84.7,Conceptual Understanding,20.5,Low,Concept Review,25,7.87,82.7
10099,22,F,4,2.91,76.8,89.4,4.8,8.7,285,77.8,77.5,86.0,74.4,80.1,31,347,3.58,3.54,3.76,3.73,4.11,Video,57.8,94.2,80.9,83.5,79.5,90.3,Critical Thinking,28.7,Low,Critical Thinking Activity,20,4.98,70.3
